csv_row,waypoint_x,waypoint_y,projected_s,projected_s_wrapped,projected_x,projected_y,euclidean_error_m,signed_lateral_error_m
120.0,-0.019003,-1.999992,-0.14673657885657576,831.5712721938203,-0.019013947061396017,-2.0029984116286776,0.003006431559041619,0.0030064315590416168
121.0,-0.019042,-1.999992,-0.14677558009907443,831.5712331925778,-0.019052948183051723,-2.0029982696050097,0.0030062895403998265,0.0030062895403998265
122.0,-0.019081,-1.999992,-0.14681458119230228,831.5711941914846,-0.019091949151375513,-2.0029981275623294,0.0030061475021882287,0.0030061475021882287
123.0,-0.019119,-1.999992,-0.14685258228041675,831.5711561903964,-0.01912995011390717,-2.0029979891428766,0.003006009087159722,0.003006009087159722
124.0,-0.019158,-1.999992,-0.14689158306896388,831.5711171896079,-0.019168950769598982,-2.0029978470626966,0.0030058670103110755,0.0030058670103110556
125.0,-0.019197,-1.999992,-0.14693058477257637,831.5710781879043,-0.01920795233632792,-2.002997704959624,0.003005724913890206,0.0030057249138901974
126.0,-0.019237,-1.999991,-0.1469705893423452,831.5710381833345,-0.019247956761593438,-2.002997559182279,0.003006579146999025,0.003006579146999025
127.0,-0.019275,-1.999991,-0.14700859045012749,831.5710001822267,-0.019285957728286736,-2.002997420686525,0.003006440655687952,0.003006440655687952
128.0,-0.019312,-1.999991,-0.1470455915346065,831.5709631811422,-0.01932295867165522,-2.0029972858175302,0.003006305791027816,0.003006305791027816
129.0,-0.019351,-1.999991,-0.14708459267808394,831.5709241799988,-0.01936195966256515,-2.002997143639257,0.0030061636173117465,0.003006163617311747
130.0,-0.01939,-1.999991,-0.1471235935310915,831.5708851791458,-0.019400960359021453,-2.0029970014424805,0.003006021424019505,0.0030060214240194907
131.0,-0.019428,-1.999991,-0.1471615949108127,831.570847177766,-0.019438961582479843,-2.002996862870956,0.0030058828578775278,0.0030058828578775278
132.0,-0.019467,-1.999991,-0.14720059652609052,831.5708081761508,-0.01947796303338603,-2.0029967206327717,0.003005740625930645,0.003005740625930615
133.0,-0.019505,-1.999991,-0.14723859723085297,831.570770175446,-0.019515963574367905,-2.002996582026069,0.00300560202212339,0.00300560202212339
134.0,-0.019544,-1.999991,-0.14727759838149268,831.5707311742954,-0.019554964552857552,-2.0029964397509463,0.0030054597515167644,0.0030054597515167644
135.0,-0.019583,-1.999991,-0.14731659930339447,831.5706921733735,-0.019593965298926527,-2.0029962974570896,0.00300531746132908,0.0030053174613290695
136.0,-0.019623,-1.999991,-0.14735660074848056,831.5706521719284,-0.01963396655941298,-2.0029961514925216,0.00300517150233226,0.0030051715023322605
137.0,-0.01966,-1.999991,-0.1473936018630866,831.5706151708138,-0.019670967499827812,-2.0029960164577756,0.003005036471917463,0.0030050364719174634
138.0,-0.019698,-1.999991,-0.14743160315094883,831.5705771695259,-0.019708968605042867,-2.0029958777545844,0.003004897773684241,0.0030048977736842385
139.0,-0.019737,-1.999991,-0.14747060421279912,831.570538168464,-0.01974796947562525,-2.0029957353829353,0.0030047554061617653,0.003004755406161765
140.0,-0.019775,-1.999991,-0.14750860514129727,831.5705001675356,-0.019785970214040587,-2.002995596643401,0.003004616670248215,0.0030046166702482075
141.0,-0.019814,-1.999991,-0.14754760677146805,831.5704611659054,-0.01982497164550383,-2.002995454231029,0.003004474264052404,0.0030044742640523954
142.0,-0.019853,-1.999991,-0.14758660774100463,831.5704221649358,-0.019863972412331687,-2.002995311801494,0.0030043318382673625,0.0030043318382673625
143.0,-0.019891,-1.999991,-0.14762460890892726,831.5703841637679,-0.01990197337903718,-2.0029951730043525,0.003004193045582666,0.0030041930455826657
144.0,-0.01993,-1.999991,-0.14766361009617412,831.5703451625807,-0.019940974356021667,-2.002995030535368,0.003004050581117472,0.0030040505811174717
145.0,-0.019969,-1.999991,-0.1477026112843305,831.5703061613925,-0.019979975330180737,-2.0029948880468007,0.0030039080970602735,0.0030039080970602735
146.0,-0.020007,-1.999991,-0.14774061269201866,831.5702681599848,-0.02001797652574771,-2.0029947491920392,0.0030037692475943308,0.0030037692475943225
147.0,-0.020045,-1.999991,-0.14777861380059676,831.5702301588763,-0.020055977418704282,-2.0029946103197798,0.003003630379525496,0.0030036303795254924
148.0,-0.020084,-1.999991,-0.14781761455913056,831.5701911581177,-0.020094977951994532,-2.002994467775042,0.0030034878376889,0.0030034878376888844
149.0,-0.020122,-1.999991,-0.1478556158892843,831.5701531567876,-0.02013297905912198,-2.0029943288643004,0.0030033489319222775,0.003003348931922273
150.0,-0.020161,-1.999991,-0.14789461710154228,831.5701141555753,-0.02017198003883874,-2.0029941862792384,0.0030032063513948486,0.003003206351394844
151.0,-0.0202,-1.999991,-0.1479336185517468,831.5700751541251,-0.02021098125285288,-2.0029940436737195,0.0030030637512680793,0.003003063751268079
152.0,-0.020238,-1.999991,-0.1479716196948857,831.570037152982,-0.02024898216211825,-2.002993904706899,0.003002924788702125,0.0030029247887021246
153.0,-0.020277,-1.999991,-0.14801062084268324,831.5699981518342,-0.020287983066263542,-2.0029937620638134,0.003002782149877189,0.0030027821498771878
154.0,-0.020315,-1.999991,-0.14804862214452896,831.5699601505323,-0.02032598412717552,-2.002993623058729,0.0030026431496035164,0.0030026431496035164
155.0,-0.020354,-1.999991,-0.14808762354141436,831.5699211491354,-0.020364985273218006,-2.002993480376055,0.003002500472076957,0.0030025004720769517
156.0,-0.020392,-1.999991,-0.14812562456734213,831.5698831481095,-0.020402986051004473,-2.002993341334293,0.003002361434091442,0.0030023614340914423
157.0,-0.020431,-1.999991,-0.1481646256544309,831.5698441470224,-0.020441986879838083,-2.002993198614071,0.0030022187178581627,0.003002218717858158
158.0,-0.020469,-1.999991,-0.14820262723753785,831.5698061454393,-0.020479988207711627,-2.002993059532578,0.0030020796421565367,0.0030020796421565297
159.0,-0.020508,-1.999991,-0.14824162827358123,831.5697671444033,-0.020518988978357994,-2.0029929167738567,0.0030019368872125215,0.0030019368872125215
