time_s,speed_mps,steering_rad
12.3,2.777778,-0.023345
12.4,2.777778,-0.030902
12.5,2.777778,-0.038268
12.6,2.777778,-0.045399
12.7,2.777778,-0.052250
12.8,2.777778,-0.058779
12.9,2.777778,-0.064945
13.0,2.777778,-0.070711
13.1,2.777778,-0.076041
13.2,2.777778,-0.080902
13.3,2.777778,-0.085264
13.4,2.777778,-0.089101
13.5,2.777778,-0.092388
13.6,2.777778,-0.095106
13.7,2.777778,-0.097237
13.8,2.777778,-0.098769
13.9,2.777778,-0.099692
14.0,2.777778,-0.100000
14.1,2.777778,-0.099692
14.2,2.777778,-0.098769
14.3,2.777778,-0.097237
14.4,2.777778,-0.095106
14.5,2.777778,-0.092388
14.6,2.777778,-0.089101
14.7,2.777778,-0.085264
14.8,2.777778,-0.080902
14.9,2.777778,-0.076041
15.0,2.777778,-0.070711
15.1,2.777778,-0.064945
15.2,2.777778,-0.058779
15.3,2.777778,-0.052250
15.4,2.777778,-0.045399
15.5,2.777778,-0.038268
15.6,2.777778,-0.030902
15.7,2.777778,-0.023345
15.8,2.777778,-0.015643
15.9,2.777778,-0.007846
16.0,2.777778,-0.000000
16.1,2.777778,0.000000
16.2,2.777778,0.000000
16.3,2.777778,0.000000
16.4,2.777778,0.000000
16.5,2.777778,0.000000
16.6,2.777778,0.000000
16.7,2.777778,0.000000
16.8,2.777778,0.000000
16.9,2.777778,0.000000
17.0,2.777778,0.000000
17.1,2.777778,0.000000
17.2,2.777778,0.000000
17.3,2.777778,0.000000
17.4,2.777778,0.000000
17.5,2.777778,0.000000
17.6,2.777778,0.000000
17.7,2.777778,0.000000
17.8,2.777778,0.000000
17.9,2.777778,0.000000
18.0,2.777778,0.000000
18.1,2.708333,0.000000
18.2,2.638889,0.000000
18.3,2.569444,0.000000
18.4,2.500000,0.000000
18.5,2.430556,0.000000
18.6,2.361111,0.000000
18.7,2.291667,0.000000
18.8,2.222222,0.000000
18.9,2.152778,0.000000
19.0,2.083333,0.000000
19.1,2.013889,0.000000
19.2,1.944444,0.000000
19.3,1.875000,0.000000
19.4,1.805556,0.000000
19.5,1.736111,0.000000
19.6,1.666667,0.000000
19.7,1.597222,0.000000
19.8,1.527778,0.000000
19.9,1.458333,0.000000
20.0,1.388889,0.000000
20.1,1.319444,0.000000
20.2,1.250000,0.000000
20.3,1.180556,0.000000
20.4,1.111111,0.000000
20.5,1.041667,0.000000
20.6,0.972222,0.000000
20.7,0.902778,0.000000
20.8,0.833333,0.000000
20.9,0.763889,0.000000
21.0,0.694444,0.000000
21.1,0.625000,0.000000
21.2,0.555556,0.000000
21.3,0.486111,0.000000
21.4,0.416667,0.000000
21.5,0.347222,0.000000
21.6,0.277778,0.000000
21.7,0.208333,0.000000
21.8,0.138889,0.000000
21.9,0.069444,0.000000
22.0,0.000000,0.000000
22.1,0.000000,0.000000
22.2,0.000000,0.000000
22.3,0.000000,0.000000
22.4,0.000000,0.000000
22.5,0.000000,0.000000
22.6,0.000000,0.000000
22.7,0.000000,0.000000
22.8,0.000000,0.000000
22.9,0.000000,0.000000
23.0,0.000000,0.000000
23.1,0.000000,0.000000
23.2,0.000000,0.000000
23.3,0.000000,0.000000
23.4,0.000000,0.000000
23.5,0.000000,0.000000
23.6,0.000000,0.000000
23.7,0.000000,0.000000
23.8,0.000000,0.000000
23.9,0.000000,0.000000
24.0,0.000000,0.000000
