elapsed_s,publish_time_s,odometry_time_s,measurement_age_at_takeover_ms,commissioned_delay_ms,command_delay_steps,state_prediction_enabled,x_m,y_m,yaw_rad,speed_mps,yaw_rate_radps,progress_m,lateral_error_m,yaw_error_rad,reference_speed_mps,published_speed_command_mps,published_steering_command_rad,next_reference_speed_mps,next_speed_command_mps,next_steering_command_rad,next_raw_steering_command_rad,next_desired_yaw_rad,next_yaw_compensation_rad,next_inner_yaw_error_rad,next_steering_saturated,next_speed_saturated,controller_compute_s,deadline_met
16.2,30.837,30.822,19.366666799999877,4.3666668,1,False,37.111509709188255,-2.4352515772766012,-0.012887140336787024,2.887947641877262,0.00013751170675265482,36.98660493378794,-0.00545024157886316,0.00018217022829085036,2.7777777778,2.7777777778,0.0011699664695122177,2.7777777778,2.7777777778,0.0011604554982019824,0.0011604554982019824,-0.011597745338784821,0.0014715652262930533,0.0012893949980022027,False,False,0.0005433530022855848,True
16.3,30.937,30.924,17.366666800000985,4.3666668,1,False,37.405959705546074,-2.439047975392784,-0.012896641407837426,2.8880819021365816,0.00011279771899889698,37.281079375248645,-0.00539884126653345,0.00016839015501323405,2.7777777778,2.7777777778,0.0011604554982019824,2.7777777778,2.7777777778,0.001160367288255718,0.001160367288255718,-0.011607344420886628,0.0014576871419640317,0.0012892969869507977,False,False,0.0005993829981889576,True
16.4,31.037,31.026,15.36666679999854,4.3666668,1,False,37.70042289966915,-2.442845372298863,-0.012893052083737014,2.8882073510993966,0.00020628062403028728,37.57556703656636,-0.005349259357643787,0.00016952035801000818,2.7777777778,2.7777777778,0.001160367288255718,2.7777777778,2.7777777778,0.0011473017016984334,0.0011473017016984334,-0.0116182724151832,0.0014443000265638227,0.001274779668553815,False,False,0.0005627610007650219,True
16.5,31.137,31.128,13.36666679999965,4.3666668,1,False,37.994898464888536,-2.4466413446375377,-0.012888275159170366,2.888324381846559,9.493169591946614e-05,37.870067059210854,-0.005298547607344373,0.00017365820290702816,2.7777777778,2.7777777778,0.0011473017016984334,2.7777777778,2.7777777778,0.001131254685968357,0.001131254685968357,-0.011631325508094413,0.0014306078539829809,0.001256949651075952,False,False,0.000586888003454078,True
16.6,31.237,31.23,11.366666799997205,4.3666668,1,False,38.28938545063835,-2.4504367268765197,-0.01288706019348728,2.88843141510777,0.00015972531007021396,38.16457850332492,-0.0052470168240457814,0.0001760542465593165,2.7777777778,2.7777777778,0.001131254685968357,2.737819095656883,2.737819095656883,0.0011165762663397404,0.0011165762663397404,-0.011646419897554236,0.0014166945424923612,0.0012406402959330449,False,False,0.0005460280008264817,True
16.7,31.337,31.332,9.366666799998313,4.3666668,1,False,38.58388317564557,-2.454231902319921,-0.012885815650386078,2.888534894055325,0.0001679461478773268,38.45910069241751,-0.0051945230834859095,0.0001803000994314522,2.737819095656883,2.737819095656883,0.0011165762663397404,2.6696426629960155,2.6696426629960155,0.0010999990197987683,0.0010999990197987683,-0.011663594517276336,0.0014025212325411956,0.0012222211331097425,False,False,0.0005135940009495243,True
16.8,31.437,31.434,7.366666799999422,4.3666668,1,False,38.87828682251964,-2.458025334996907,-0.012884131347497316,2.886400817815139,5.559075663029587e-05,38.75352879766078,-0.005140364397737827,0.00018680395232641145,2.6696426629960155,2.6696426629960155,0.0010999990197987683,2.601488009003973,2.601488009003973,0.0010809849915565215,0.0010809849915565215,-0.011683036912434514,0.0013878983873892134,0.0012010944350628015,False,False,0.0006040320004103705,True
16.9,31.537,31.536,5.3666667999969775,4.3666668,1,False,39.172271700568984,-2.4618131390972806,-0.012883408575344717,2.880288677335761,0.00011412093032304536,39.047538104939925,-0.005084367179672503,0.000194154275878251,2.601488009003973,2.601488009003973,0.0010809849915565215,2.5334302989851074,2.5334302989851074,0.001060762376369993,0.001060762376369993,-0.011704783712711391,0.0013727791385115759,0.0011786248626333255,False,False,0.0005107480028527789,True
17.0,31.637,31.604,37.36666680000056,4.3666668,1,False,39.367825308576364,-2.4643325016150865,-0.0128822345608281,2.8736293053796333,0.00010892959800225866,39.243107964603205,-0.005045706343283233,0.0002007411251508367,2.5334302989851074,2.5334302989851074,0.001060762376369993,2.488159498136764,2.488159498136764,0.0010454396287820722,0.0010454396287820722,-0.011720634973292465,0.001362340712686473,0.0011615995875356357,False,False,0.0005441850007628091,True
17.1,31.737,31.706,35.366666799998114,4.3666668,1,False,39.660214975532206,-2.4680983062978163,-0.012873789598894304,2.86113714750546,0.00017111817347263697,39.535521922920516,-0.004984612577041262,0.0002187758741086666,2.488159498136764,2.488159498136764,0.0010454396287820722,2.4204710818590667,2.4204710818590667,0.0010143625695232263,0.0010143625695232263,-0.01174672007720183,0.0013458453958011408,0.0011270695216924736,False,False,0.0004984140032320283,True
