time_s,speed_mps,steering_rad
6.3,3.200000000,0.013726777
6.4,3.200000000,0.018523645
6.5,3.200000000,0.023419899
6.6,3.200000000,0.028407449
6.7,3.200000000,0.033477256
6.8,3.200000000,0.038619294
6.9,3.200000000,0.043822512
7.0,3.200000000,0.049074805
7.1,3.200000000,0.054362987
7.2,3.200000000,0.059672767
7.3,3.200000000,0.064988736
7.4,3.200000000,0.070294354
7.5,3.200000000,0.075571949
7.6,3.200000000,0.080802721
7.7,3.200000000,0.085966761
7.8,3.200000000,0.091043068
7.9,3.200000000,0.096009590
8.0,3.200000000,0.100843263
8.1,3.200000000,0.105520075
8.2,3.200000000,0.110015129
8.3,3.200000000,0.114302735
8.4,3.200000000,0.118356499
8.5,3.200000000,0.122149441
8.6,3.200000000,0.125654122
8.7,3.200000000,0.128842784
8.8,3.200000000,0.131687514
8.9,3.200000000,0.134160413
9.0,3.200000000,0.136233792
9.1,3.200000000,0.137880377
9.2,3.200000000,0.139073535
9.3,3.200000000,0.139787506
9.4,3.200000000,0.139997661
9.5,3.200000000,0.139680766
9.6,3.200000000,0.138815258
9.7,3.200000000,0.137381537
9.8,3.200000000,0.135362263
9.9,3.200000000,0.132742655
10.0,3.200000000,0.129510809
10.1,3.200000000,0.125658000
10.2,3.200000000,0.121178998
10.3,3.200000000,0.116072365
10.4,3.200000000,0.110340758
10.5,3.200000000,0.103991211
10.6,3.200000000,0.097035401
10.7,3.200000000,0.089489895
10.8,3.200000000,0.081376374
10.9,3.200000000,0.072721819
11.0,3.200000000,0.063558670
11.1,3.200000000,0.053924940
11.2,3.200000000,0.043864281
11.3,3.200000000,0.033426006
11.4,3.200000000,0.022665045
11.5,3.200000000,0.011641850
11.6,3.200000000,0.000422229
11.7,3.200000000,-0.010922887
11.8,3.200000000,-0.022317757
11.9,3.200000000,-0.033682208
12.0,3.200000000,-0.044932105
12.1,3.200000000,-0.055979892
12.2,3.200000000,-0.066735219
12.3,3.200000000,-0.077105650
12.4,3.200000000,-0.086997451
12.5,3.200000000,-0.096316455
12.6,3.200000000,-0.104968999
12.7,3.200000000,-0.112862932
12.8,3.200000000,-0.119908681
12.9,3.200000000,-0.126020371
13.0,3.200000000,-0.131116984
13.1,3.200000000,-0.135123556
13.2,3.200000000,-0.137972382
13.3,3.200000000,-0.139604231
13.4,3.200000000,-0.139969541
13.5,3.200000000,-0.139029584
13.6,3.200000000,-0.136757584
13.7,3.200000000,-0.133139755
13.8,3.200000000,-0.128176258
13.9,3.200000000,-0.121882030
14.0,3.200000000,-0.114287495
14.1,3.200000000,-0.105439099
14.2,3.200000000,-0.095399682
14.3,3.200000000,-0.084248639
14.4,3.200000000,-0.072081871
14.5,3.200000000,-0.059011496
14.6,3.200000000,-0.045165307
