time_s,speed_mps,steering_rad
6.3,2.500000000,0.014990505
6.4,2.500000000,0.019895191
6.5,2.500000000,0.024721360
6.6,2.500000000,0.029449964
6.7,2.500000000,0.034062343
6.8,2.500000000,0.038540294
6.9,2.500000000,0.042866144
7.0,2.500000000,0.047022820
7.1,2.500000000,0.050993919
7.2,2.500000000,0.054763768
7.3,2.500000000,0.058317490
7.4,2.500000000,0.061641059
7.5,2.500000000,0.064721360
7.6,2.500000000,0.067546234
7.7,2.500000000,0.070104534
7.8,2.500000000,0.072386164
7.9,2.500000000,0.074382119
8.0,2.500000000,0.076084521
8.1,2.500000000,0.077486653
8.2,2.500000000,0.078582980
8.3,2.500000000,0.079369176
8.4,2.500000000,0.079842138
8.5,2.500000000,0.080000000
8.6,2.500000000,0.079842138
8.7,2.500000000,0.079369176
8.8,2.500000000,0.078582980
8.9,2.500000000,0.077486653
9.0,2.500000000,0.076084521
9.1,2.500000000,0.074382119
9.2,2.500000000,0.072386164
9.3,2.500000000,0.070104534
9.4,2.500000000,0.067546234
9.5,2.500000000,0.064721360
9.6,2.500000000,0.061641059
9.7,2.500000000,0.058317490
9.8,2.500000000,0.054763768
9.9,2.500000000,0.050993919
10.0,2.500000000,0.047022820
10.1,2.500000000,0.042866144
10.2,2.500000000,0.038540294
10.3,2.500000000,0.034062343
10.4,2.500000000,0.029449964
10.5,2.500000000,0.024721360
10.6,2.500000000,0.019895191
10.7,2.500000000,0.014990505
10.8,2.500000000,0.010026659
10.9,2.500000000,0.005023242
11.0,2.500000000,0.000000000
11.1,2.500000000,-0.005023242
11.2,2.500000000,-0.010026659
11.3,2.500000000,-0.014990505
11.4,2.500000000,-0.019895191
11.5,2.500000000,-0.024721360
11.6,2.500000000,-0.029449964
11.7,2.500000000,-0.034062343
11.8,2.500000000,-0.038540294
11.9,2.500000000,-0.042866144
12.0,2.500000000,-0.047022820
12.1,2.500000000,-0.050993919
12.2,2.500000000,-0.054763768
12.3,2.500000000,-0.058317490
12.4,2.500000000,-0.061641059
12.5,2.500000000,-0.064721360
12.6,2.500000000,-0.067546234
12.7,2.500000000,-0.070104534
12.8,2.500000000,-0.072386164
12.9,2.500000000,-0.074382119
13.0,2.500000000,-0.076084521
13.1,2.500000000,-0.077486653
13.2,2.500000000,-0.078582980
13.3,2.500000000,-0.079369176
13.4,2.500000000,-0.079842138
13.5,2.500000000,-0.080000000
13.6,2.500000000,-0.079842138
13.7,2.500000000,-0.079369176
13.8,2.500000000,-0.078582980
13.9,2.500000000,-0.077486653
14.0,2.500000000,-0.076084521
14.1,2.500000000,-0.074382119
14.2,2.500000000,-0.072386164
14.3,2.500000000,-0.070104534
14.4,2.500000000,-0.067546234
14.5,2.500000000,-0.064721360
14.6,2.500000000,-0.061641059
14.7,2.500000000,-0.058317490
14.8,2.500000000,-0.054763768
14.9,2.500000000,-0.050993919
15.0,2.500000000,-0.047022820
15.1,2.500000000,-0.042866144
15.2,2.500000000,-0.038540294
15.3,2.500000000,-0.034062343
15.4,2.500000000,-0.029449964
15.5,2.500000000,-0.024721360
15.6,2.500000000,-0.019895191
15.7,2.500000000,-0.014990505
15.8,2.500000000,-0.010026659
15.9,2.500000000,-0.005023242
16.0,2.500000000,-0.000000000
16.1,2.500000000,0.005023242
16.2,2.500000000,0.010026659
16.3,2.500000000,0.014990505
16.4,2.500000000,0.019895191
16.5,2.500000000,0.024721360
16.6,2.500000000,0.029449964
16.7,2.500000000,0.034062343
16.8,2.500000000,0.038540294
16.9,2.500000000,0.042866144
17.0,2.500000000,0.047022820
17.1,2.500000000,0.050993919
17.2,2.500000000,0.054763768
17.3,2.500000000,0.058317490
17.4,2.500000000,0.061641059
17.5,2.500000000,0.064721360
17.6,2.500000000,0.067546234
17.7,2.500000000,0.070104534
17.8,2.500000000,0.072386164
17.9,2.500000000,0.074382119
18.0,2.500000000,0.076084521
18.1,2.500000000,0.077486653
18.2,2.500000000,0.078582980
18.3,2.500000000,0.079369176
18.4,2.500000000,0.079842138
18.5,2.500000000,0.080000000
18.6,2.500000000,0.079842138
18.7,2.500000000,0.079369176
18.8,2.500000000,0.078582980
18.9,2.500000000,0.077486653
19.0,2.500000000,0.076084521
19.1,2.500000000,0.074382119
19.2,2.500000000,0.072386164
19.3,2.500000000,0.070104534
19.4,2.500000000,0.067546234
19.5,2.500000000,0.064721360
19.6,2.500000000,0.061641059
19.7,2.500000000,0.058317490
19.8,2.500000000,0.054763768
